Ticket_ID,llm_score
TKT-100000,0
TKT-100001,2
TKT-100002,0
TKT-100003,1
TKT-100004,1
TKT-100005,0
TKT-100006,0
TKT-100007,0
TKT-100008,1
TKT-100009,0
TKT-100010,0
TKT-100011,0
TKT-100012,1
TKT-100013,0
TKT-100014,0
TKT-100015,0
TKT-100016,0
TKT-100017,0
TKT-100018,0
TKT-100019,1
TKT-100020,3
TKT-100021,2
TKT-100022,0
TKT-100023,1
TKT-100024,0
TKT-100025,0
TKT-100026,0
TKT-100027,0
TKT-100028,0
TKT-100029,0
TKT-100030,0
TKT-100031,0
TKT-100032,1
TKT-100033,0
TKT-100034,2
TKT-100035,1
TKT-100036,3
TKT-100037,0
TKT-100038,0
TKT-100039,3
TKT-100040,1
TKT-100041,0
TKT-100042,1
TKT-100043,1
TKT-100044,0
TKT-100045,3
TKT-100046,0
TKT-100047,0
TKT-100048,0
TKT-100049,0
TKT-100050,0
TKT-100051,1
TKT-100052,0
TKT-100053,1
TKT-100054,0
TKT-100055,1
TKT-100056,0
TKT-100057,3
TKT-100058,1
TKT-100059,1
TKT-100060,2
TKT-100061,2
TKT-100062,2
TKT-100063,1
TKT-100064,0
TKT-100065,3
TKT-100066,1
TKT-100067,0
TKT-100068,1
TKT-100069,0
TKT-100070,1
TKT-100071,2
TKT-100072,0
TKT-100073,1
TKT-100074,1
TKT-100075,0
TKT-100076,0
TKT-100077,0
TKT-100078,0
TKT-100079,0
TKT-100080,0
TKT-100081,1
TKT-100082,0
TKT-100083,2
TKT-100084,0
TKT-100085,0
TKT-100086,0
TKT-100087,0
TKT-100088,0
TKT-100089,1
TKT-100090,0
TKT-100091,1
TKT-100092,0
TKT-100093,1
TKT-100094,0
TKT-100095,0
TKT-100096,3
TKT-100097,0
TKT-100098,0
TKT-100099,0
TKT-100100,1
TKT-100101,1
TKT-100102,1
TKT-100103,1
TKT-100104,2
TKT-100105,0
TKT-100106,3
TKT-100107,0
TKT-100108,1
TKT-100109,0
TKT-100110,2
TKT-100111,2
TKT-100112,0
TKT-100113,3
TKT-100114,0
TKT-100115,0
TKT-100116,2
TKT-100117,0
TKT-100118,2
TKT-100119,0
TKT-100120,0
TKT-100121,0
TKT-100122,1
TKT-100123,1
TKT-100124,1
TKT-100125,0
TKT-100126,1
TKT-100127,1
TKT-100128,1
TKT-100129,1
TKT-100130,2
TKT-100131,0
TKT-100132,2
TKT-100133,1
TKT-100134,1
TKT-100135,3
TKT-100136,3
TKT-100137,0
TKT-100138,0
TKT-100139,0
TKT-100140,0
TKT-100141,1
TKT-100142,0
TKT-100143,0
TKT-100144,1
TKT-100145,0
TKT-100146,2
TKT-100147,2
TKT-100148,1
TKT-100149,0
TKT-100150,0
TKT-100151,3
TKT-100152,2
TKT-100153,1
TKT-100154,0
TKT-100155,0
TKT-100156,0
TKT-100157,0
TKT-100158,1
TKT-100159,1
TKT-100160,1
TKT-100161,2
TKT-100162,1
TKT-100163,1
TKT-100164,1
TKT-100165,1
TKT-100166,0
TKT-100167,1
TKT-100168,1
TKT-100169,2
TKT-100170,1
TKT-100171,1
TKT-100172,2
TKT-100173,0
TKT-100174,2
TKT-100175,1
TKT-100176,2
TKT-100177,1
TKT-100178,3
TKT-100179,0
TKT-100180,0
TKT-100181,0
TKT-100182,1
TKT-100183,1
TKT-100184,0
TKT-100185,1
TKT-100186,0
TKT-100187,0
TKT-100188,2
TKT-100189,1
TKT-100190,1
TKT-100191,2
TKT-100192,0
TKT-100193,2
TKT-100194,1
TKT-100195,0
TKT-100196,0
TKT-100197,1
TKT-100198,2
TKT-100199,1
TKT-100200,0
TKT-100201,1
TKT-100202,2
TKT-100203,2
TKT-100204,0
TKT-100205,1
TKT-100206,2
TKT-100207,1
TKT-100208,2
TKT-100209,0
TKT-100210,0
TKT-100211,2
TKT-100212,0
TKT-100213,0
TKT-100214,0
TKT-100215,0
TKT-100216,1
TKT-100217,0
TKT-100218,0
TKT-100219,0
TKT-100220,1
TKT-100221,2
TKT-100222,0
TKT-100223,2
TKT-100224,1
TKT-100225,1
TKT-100226,0
TKT-100227,1
TKT-100228,0
TKT-100229,0
TKT-100230,0
TKT-100231,1
TKT-100232,0
TKT-100233,0
TKT-100234,1
TKT-100235,0
TKT-100236,1
TKT-100237,0
TKT-100238,1
TKT-100239,3
TKT-100240,1
TKT-100241,0
TKT-100242,0
TKT-100243,2
TKT-100244,2
TKT-100245,1
TKT-100246,0
TKT-100247,3
TKT-100248,0
TKT-100249,0
TKT-100250,0
TKT-100251,2
TKT-100252,2
TKT-100253,1
TKT-100254,0
TKT-100255,1
TKT-100256,0
TKT-100257,1
TKT-100258,0
TKT-100259,2
TKT-100260,1
TKT-100261,1
TKT-100262,0
TKT-100263,1
TKT-100264,0
TKT-100265,2
TKT-100266,0
TKT-100267,1
TKT-100268,0
TKT-100269,3
TKT-100270,1
TKT-100271,2
TKT-100272,2
TKT-100273,0
TKT-100274,0
TKT-100275,1
TKT-100276,0
TKT-100277,1
TKT-100278,0
TKT-100279,3
TKT-100280,2
TKT-100281,1
TKT-100282,0
TKT-100283,2
TKT-100284,2
TKT-100285,2
TKT-100286,0
TKT-100287,0
TKT-100288,1
TKT-100289,1
TKT-100290,0
TKT-100291,0
TKT-100292,0
TKT-100293,2
TKT-100294,0
TKT-100295,3
TKT-100296,2
TKT-100297,0
TKT-100298,2
TKT-100299,0
TKT-100300,0
TKT-100301,1
TKT-100302,1
TKT-100303,0
TKT-100304,1
TKT-100305,0
TKT-100306,1
TKT-100307,0
TKT-100308,2
TKT-100309,1
TKT-100310,0
TKT-100311,3
TKT-100312,0
TKT-100313,0
TKT-100314,3
TKT-100315,0
TKT-100316,0
TKT-100317,0
TKT-100318,2
TKT-100319,1
TKT-100320,1
TKT-100321,1
TKT-100322,3
TKT-100323,0
TKT-100324,0
TKT-100325,0
TKT-100326,3
TKT-100327,1
TKT-100328,3
TKT-100329,1
TKT-100330,1
TKT-100331,0
TKT-100332,0
TKT-100333,0
TKT-100334,0
TKT-100335,1
TKT-100336,2
TKT-100337,1
TKT-100338,2
TKT-100339,2
TKT-100340,0
TKT-100341,0
TKT-100342,1
TKT-100343,1
TKT-100344,1
TKT-100345,2
TKT-100346,1
TKT-100347,3
TKT-100348,2
TKT-100349,0
TKT-100350,0
TKT-100351,0
TKT-100352,0
TKT-100353,2
TKT-100354,3
TKT-100355,0
TKT-100356,0
TKT-100357,0
TKT-100358,0
TKT-100359,1
TKT-100360,1
TKT-100361,0
TKT-100362,1
TKT-100363,2
TKT-100364,0
TKT-100365,1
TKT-100366,0
TKT-100367,1
TKT-100368,0
TKT-100369,0
TKT-100370,0
TKT-100371,1
TKT-100372,2
TKT-100373,0
TKT-100374,3
TKT-100375,0
